MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
MATERIEL KO : Ecran affiche no input cable;"L'ecran de la caisse affiche ""no input cable'.";Ecran caissiere;Materiel;Caisse;Materiel \ Caisse \ Ecran caissiere;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;La caisse ne detecte pas l'ecran : hard reboot + verification des branchements.;P3;SYM0322; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran caissiere \ Reparation / Remplacement;; 
GLORY KO;Monnayeur : pb trop plein la caissette de souvre plus; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0324; ; ; ; ; ; ; ;SCO NCR-FR;Caise libre service \ Monnayeur;; 
HORS PERIMETRE;PEEBIX installation Imprimante.;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE \ HORS PERIMETRE \ HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;Hors perimetre SYMAG : contacter Pebix en direct ou demander au CSI;P3;SYM0330; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
SOUHAITE MODIFIER LE LIBELLE SOCIETE SUR LES CHEQUES;Modification libelle cheque;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Sur VLP, information magasin. Libele chèque;P3;SYM0332; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;51332757;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
HORS PERIMETRE;Commande encre;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE \ HORS PERIMETRE \ HORS PERIMETRE;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;Hors perimetre SYMAG;P4;SYM0336; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;; 
VLCC : Modification / Creation compte client;Demande de l'aide pour modifier / ouvrir une ligne de credit a un client;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Explication fournis au client : [Mettre les détails];P4;SYM0337;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE UNE VERIFICATION PRELEVEMENT CAISSIER;Demande de verifier les prelevements journee d'un caissier;Parametrage caissier;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caissier;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Journaux de caisse + financier et statistique;P3;SYM0342;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE DE VERIFICATION CAISSE SUITE AJOUT;Suite ajout nouvelle caisse par un technicien ou le magasin , demande de verifier si la caisse est connectee et fonctionnelle;UC caisse;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ UC caisse;VLP PROXI-FR;01 - Défaillance applicative;CHARGEMENT CAISSE;Ping la caisse pour voir si OK. Se connecter dessus et faire un encaissement pour controler que tout est OK;P3;SYM0343; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Parametrage peripherique caisse \ UC caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
ERREUR FORMAT LORS DU SCAN D UNE CARTE CADEAU EN CAISSE;"Carte cadeau Carrefour :""Erreur format :carte kdo dematerialise""";Dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Dematerialise;AXIS-FR;05 - Demande de service;MONETIQUE;Vérifier avec le magasin si le code EAN est bien scanné lors de la vente;P3;SYM0346; ; ; ;1; ; ;1;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
VLP - CAISSE : Remise KO compte client;PB remise compte client;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;AUTONOMIE UTILISATEUR;"Faire un compte client avec le badge et mettre les remises NOUVEAU !! Regression suite à SP5.9 TFS 63761 - LOTI SP6.0
Correction du programme PCWIN  
Pas de contrôle remise autorisee sur TOTAL pour les remises GCC %
Recalcul du total pour application de la remise si client saisi après TOTAL
Contournement : Le magasin doit identifier le client AVANT l’appui sur la touche total  - Identification via l’IHM en bas a gauche. 

Cas regroupement client : Créer un compte crédit client avec remise automatique de x% et montant crédit autorisé à zéro pour paiement comptant à chaque passage en caisse. Book de formation dispo ici: https://sites.google.com/carrefour.com/csi-carrefour-proximite/accueil/encaissement-et-fid%C3%A9lit%C3%A9-symag/encaissement-symag/cr%C3%A9dits-clients";P3;SYM0348;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS METIER : Vignette action commerciale;"Message ""Vignette"" apparait sur la caisse alors qu'ils n'ont rien a donner aux clients";Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;CLL PROXI-FR;01 - Défaillance applicative;AUTONOMIE UTILISATEUR;Demande à faire au CSI. AFFECTATION du ticket dans bannette  FR METIER N2 CSI PROXIMITE + envoi mail et clôturer le CARE;P3;SYM0349;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR METIER N2 CSI PROXIMITE
WorldLine : Aucune transaction de la journee;WorldLine : Aucune transaction de la journee;Ecart de CA;Monetique;E-portal;Monetique \ E-portal \ Ecart de CA;AXIS-FR;05 - Demande de service;MONETIQUE;TPE en degrade? Verification sur Eportal, si pas de transaction faire une demande WorldLine;P3;SYM0350; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
WorldLine: Pas de telecollectes;WorldLine: Pas de telecollectes (Eportal);Telecollecte;Monetique;E-portal ;Monetique \ E-portal \ Telecollecte;AXIS-FR;05 - Demande de service;MONETIQUE;Verification sur Eportal, si pas de telecollecte faire une demande WorldLine;P3;SYM0351; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
ARTICLE INCONNU LORS DU SCAN D'UN ARTICLE;Article inconnu (EAN) inconnu lors du scan d'un article en caisse;Article inconnu;Encaissement;Article;Encaissement \ Article \ Article inconnu;VLP PROXI-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;Verification de l'existence du produit sur VLP. Si ko tester un nouvel envoi / verifier le flux / presence tomajcai;P3;SYM0354; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Article \ Article inconnu;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
HORS PERIMETRE;pc bureau verrouille; ;Back Office Proximite;Parametrage;Back Office Proximite \ Parametrage;METI STORE-FR;HORS PERIMETRE;HORS PERIMETRE;Erreur svi avec sic n1_n2;P3;SYM0361; ; ; ; ; ; ; ;METI STORE-FR;Back Office Proximite \ Chiffre d'affaire \ Ecart CA;;FR IT SIC N1_N2_MAGASINS_PROXI
CAISSE HORS RESEAU CAR CLOTURE EN COURS;les caisses sont hors reseau - pb de cloture;Cloture en cours;Encaissement;Caisse deconnecte;Encaissement \ Caisse deconnecte \ Cloture en cours;VLP PROXI-FR;01 - Défaillance applicative;CLOTURE KO;Traiter la clôture;P3;SYM0362; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Cloture en cours;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE BLOQUEE SUR MONTANT 0,00e CAR ERR IMPRIMANTE;Caisse bloquee sur montant 0.00 euros + erreur imprimante;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;a/r IMP;P3;SYM0364; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
PLUSIEURS FENETRES OUVERTE SUR LA CAISSE;Il y a plusieurs fenetre ouverte sur la caisse (exemple taskmgr, menu maintenance, explorateur windows etc);Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;ENVIRONNEMENT;Fermer les fenêtres et expliquer au magasin qu'il peut y avoir des mouches qui se posent sur l'écran. Mettre quelque chose devant l'écran pour éviter que ça se reproduise;P3;SYM0369; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS VLP : Verification;Verification CA sur le mois; ;Encaissement;Serveur caisse;Encaissement \ Serveur caisse;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Sur VLP, CA via le rayon et le financier et stat. Si ecart, demander l'historique.;P3;SYM0370; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC : SOUHAITE SOLDER LES ANCIENNES FACTURE SUITE CHANGEMENT GERANCE;Le magasin souhaite solder les anciennes factures car il y a un changement de gerance;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;05 - Demande de service;CREDIT CLIENT;VLCC : règlement pièce a faire avec accord gerance en cours.;P3;SYM0371; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MONETIQUE : Carte Restaurant;Suite au changement de magasin, les cartes ticket restaurant ne passent pas sur les caisses.;Ticket restaurant dematerialise;Monetique;Moyen de paiement ;Monetique \ Moyen de paiement \ Ticket restaurant dematerialise;AXIS-FR;05 - Demande de service;MONETIQUE;"1-    Si « OUI » : Ouvrir une demande pour contrôle contrat chez WORDLINE
 

2-    Si « NON » ou « Le client a bien reçu la CARTE DE DOMICILIATION »  : Rediriger le magasin vers le CDF / CSI et Clôturer le CARE en hors périmètre Support.
Ils feront la demande à Marketpay par rapport aux régions via Spring (outil ticketing)


3-     Si « NE SAIS PAS » : Rediriger le magasin vers le CDF / CSI + Mettre le dossier en ‘attente info utilisateur’";P3;SYM0373; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
VLCC : Annulation BL;Souhaite annuler un BL sur VLCC;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Il faut effectuer le même BL en négatif (retour) et le facturer sur le même compte;P3;SYM0375;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Imprimante tete thermique HS;pb d’impression dû au thermique ;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;DI;P3;SYM0379; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
PROCESS VLP : Libelle chèque;Demande de modifier le libelle cheque ;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;"Modifier ""Identification nationale (RIB)"" dans ""Paramètre -> Paramètre magasin -> Information magasin"" sur VLP + modifier le ""libelle chèque"" dans ""Paramètre -> Paramètre encaissement""";P3;SYM0383;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROMOTION KO SUR UNE SEULE CAISSE;Une promotion ne fonctionne pas sur une seule caisse ;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;CLL PROXI-FR;01 - Défaillance applicative;FID;Vérifier la fidélité sur cette caisse (cll embedded , reference fid dans le journal client);P3;SYM0385; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
VLCC ECHEC REQUETE GCC EN CAISSE;Echec requete GCC;Probleme BL;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Probleme BL;VLP PROXI-FR;01 - Défaillance applicative;CREDIT CLIENT;Relance des services VLCC sur le serveur. Si toujours KO vérifier si java.exe n'est pas lancé plusieurs fois, si c'est le cas kill et relance VLCC. Si toujours KO, un reboot serveur peut être effectué.;P3;SYM0386; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Probleme BL;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
"FIDELITE KO : Offline	";Fid offline dans les journaux (ref fid avec date) ;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;VLP PROXI-FR;01 - Défaillance applicative;FID;Recuperation du log vll sur la caisse : System.IO.IOException: Le compte reference est actuellement verrouille et il se peut qu’il ne soit pas possible de s’y connecter. Compte pxco verouille sur la VM1 > Revalidation des mdp;P2;SYM0387; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
UBER : Erreur 007;Transaction UBER KO - Erreur 007;Chiffre d affaire;e-Commerce;Encaissement Facturation;e-Commerce \ Encaissement Facturation \ Chiffre d affaire;UBER EATS-FR;03 - Donnes referentiel;UBER;numero caissier --> Pb de mdp caissier (supprime dans LHOTMDP) + representation des enveloppes;P3;SYM0388; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
VLP CAISSE : Appel prix absent;Appel prix absent sur caisse;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SYSTEM;Voir dans VLP , article, liste article ligne ;P3;SYM0389; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CLOTURE KO;VLP Grand Total KO cloture;Echec de cloture / Erreur;Encaissement;Cloture;Encaissement \ Cloture \ Echec de cloture;VLP PROXI-FR;01 - Défaillance applicative;CLOTURE KO;"Consultation log: Retour en erreur lors de l'appel de  la methode SIGN appele depuis Consolidate Voir le fichier Signature.XML sur le serveur. Doit finir par Signature>
OU 
Voir le log dans d pos serveur. Souvent une caisse en erreur sur LGRTOT / Ouvrir en DBU puis supprimer la ligne à blanc";P1;SYM0390; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Echec de cloture;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE SUR LE BUREAU : REVIENT SUR LE BUREAU ARRIVE SUR TRANSFERT BDC;Caisse revient sur le bureau arrive a transfert bande de controle;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;01 - Défaillance applicative;SYSTEM;Verifier le Lband sur le serveur de la caisse, il est peut être corrompu. Prendre celui des archives si c'est le cas.;P3;SYM0391; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC SOLDE CLIENT INCORRECT;Solde compte credit client incorrect ;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;05 - Demande de service;SYSTEM;"Souhaite modifier le solde : Regarder le solde du compte actuel et aller dans ""reglement pièce"" , cocher le tout et voir si ce qui est demande est OK. Si aucune pièce à regler et que le solde facture est à 0 , le solde du client doit être à 0. Si pas à 0 on peut demander au N2 de le mettre à 0";P3;SYM0393; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PRODUIT DEMAT : Annulation;Annulation ticket demat impossible;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Il faut passer par un retour , impossible d'annuler ce type de ticket;P3;SYM0394;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TICKET RESTAURANT NE PASSENT PAS EN CAISSE CAR  ERR LONG REFER;Ticket restaurant bimpli ne passe pas en caisse , ERR LONG REFER;Ticket restaurant dematerialise;Monetique;Moyen de paiement ;Monetique \ Moyen de paiement \ Ticket restaurant dematerialise;AXIS-FR;05 - Demande de service;MONETIQUE;Problème code BIN entre VLP et les tickets restaurant Passer les tickets restaurants sans scan.;P3;SYM0396; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
TICKET CLIENT MAIS PAS COMMERCANT LORS D UN PAIEMENT;Ticket client mais pas commercant;Telecollecte;Monetique;E-porta;Monetique \ E-portal \ Telecollecte;AXIS-FR;01 - Défaillance applicative;MONETIQUE;Faire un 957;P3;SYM0398; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
SOUHAITE MODIFIER LE LIBELLE D UNE TOUCHE FAMILLE;Souhaite modifier le libelle d'une touche famille;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;dans basevlp > epos > famille et famille mv > data.fr-fr.lrc , c'est un fichier txt avec les libelles +9001 sur la caisse;P3;SYM0399; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
Ping KO mais telemaintenance OK (pb domaine);On peut se connecter sur la caisse malgre que le ping soit KO;UC caisse;Materiel;Caisse ;Materiel \ Caisse \ UC caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;INFRA;Voir fiche support;P3;SYM0400; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=Ajout caisse au domaine; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ UC caisse \ reparation / Remplacement;; 
"MESSAGE D ERREUR ""TICKET NEGATIF"" LORS D UN RETOUR";Ticket negatif lors d'un retour;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;SERVICE UTILISATEUR;"Si mode de reglement espèce est bien dans les deux sens , voir si le caissier en caisse est parametre comme les autres.
Type caissier peut être en normal au lieu de negatif.";P3;SYM0401; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CLOTURE KO;Archive fiscale cloture KO;Echec de cloture / Erreur;Encaissement;Cloture;Encaissement \ Cloture \ Echec de cloture;VLP PROXI-FR;01 - Défaillance applicative;CLOTURE KO;"Effacer bloc critique
Voir le log pour savoir la caisse impactee.(archivelog)
Corriger et relancer clôture";P2;SYM0402; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Echec de cloture;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CLOTURE KO;Cloture KO dans MAJ ELIGIBILITE TICKET RESTAURANT;Echec de cloture / Erreur;Encaissement;Cloture;Encaissement \ Cloture \ Echec de cloture;VLP PROXI-FR;01 - Défaillance applicative;CLOTURE KO;"Lie au SP 5.1
Possible que le log du SP soit KO
verifier log caisse aussi";P2;SYM0404; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Echec de cloture;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LE LOGO SUR LA CAISSE OU LE TICKET N EST PAS A JOUR;Logo caisse pas a jour;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SYSTEM;"Si veut passer de contact à city par exemple.
Faire un choix mag pour la bonne enseigne puis 902+920+0";P4;SYM0405; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MONETIQUE : Vol de carte bancaire;La carte bancaire d'un client a ete volee;Carte bancaire;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Carte bancaire;AXIS-FR;04 - Manque de formation utilisateur;MONETIQUE;Indiquer au magasin de recuperer la carte et Indiquer au magasin de contacter carrefour banque : 0826827827;P4;SYM0409; ; ; ; ; ; ;1;AXIS-FR;Monetique \ Moyen de paiement \ Carte bancaire;; 
MONETIQUE : Contrat;pb de contrat / provisionning ; ;Monetique;Infra banque;Monetique \ Infra banque;AXIS-FR;05 - Demande de service;MONETIQUE;« Vérification contrat, si KO –> Affectation dans banette FR METIER N2 CSI PROXIMITE -> CLOTURE DU DOSSIER EN HORS PERIMETRE SUPPORT -> ENVOI MAIL CSI POUR INFORMER ;P2;SYM0410; ; ; ; ; ; ; ;AXIS-FR;Monetique \ Provisionning \ Changement de contrat;;FR METIER N2 CSI PROXIMITE
MATERIEL KO : Ecran probleme luminosite;Ecran - reglage de la luminosite;Ecran caissiere;Materiel;Caisse;Materiel \ Caisse \ Ecran caissiere;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;Explication pour modifie la luminosite : Molette.;P4;SYM0411; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran caissiere \ Reparation / Remplacement;; 
METI : Excedent;excedent de versement sur METI; ;Back Office Proximite;Parametrage;Back Office Proximite \ Parametrage;METI STORE-FR;04 - Manque de formation utilisateur;METI;transférer le dossier dans la bonne bannette METI ;P3;SYM0414; ; ; ; ; ; ; ;METI STORE-FR;Back Office Proximite \ Chiffre d'affaire \ Ecart CA;;FR IT SIC N1_N2_MAGASINS_PROXI
SOUHAITE CONSULTER LES ANNULATIONS LIGNES SUR VLP;Souhaite consulter les annulations lignes sur VLP; ;Encaissement;Serveur caisse;Encaissement \ Serveur caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Sur VLP : Statistiques caissiers ==> Statistiques ==> Liste des annulations lignes;P3;SYM0415;A/U : Oui; ; ;FU;http://sym-90065/encaissement/PRODIM/?q=50500564; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;50500564;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : UC ETEINTE;Caisse eteinte;Reparation / Remplacement;Materiel Caisse;UC caisse;Materiel Caisse \ UC caisse \ Reparation / Remplacement;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;Appuyer sur le bouton power.;P3;SYM0416; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ UC caisse \ reparation / Remplacement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
SYSTÈME : Runtime Error;RUNTIME ERROR;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SYSTEME;Relance encaissement;P3;SYM0418; ; ;43527194; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC : Parametrage magasin;Modification parametre magasin sur VLCC;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;05 - Demande de service;VLCC;Sur Credit client modification info magasin. Enregistrer les modifications. Effectuees.;P3;SYM0419; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS VLP : Duplicata ticket | Arrêt de l'encaissement;Lors d'un duplicata ticket l'encaissement se ferme tout seul et on arrive sur le bureau;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;PROCESS VLP;Solution : Relancer l’encaissement, refaire le duplicata ticket / Contournement : Le client peut utiliser le bouton ticket client en caisse lors du scan des produits, afin d’avoir à éviter de faire un duplicata ticket;P2;SYM0421; ; ;56558614 ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS VLP : Enveloppe R13;Sur le serveur on peut voir des enveloppes remontees des caisses en erreur R13;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;PROCESS VLP;copie des envelloppe en erreur ( duree : 7 jours), rrelance sur le serveur. ESC N2 pour traitement;P2;SYM0423; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;52782200;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Serveur eteint;Serveur eteint;Serveur LNA;Materiel;Infrastructure;Materiel \ Infrastructure \ Serveur LNA;MATERIEL_SERVEUR-FR;02 - Défaillance de l'infrastructure;INFRA;A/R serveur.;P1;SYM0424; ; ; ; ; ; ; ;MATERIEL_SERVEUR-FR;Materiel Serveur \ Serveur \ Coupure electrique non planifiee;; 
SOUHAITE NE PLUS UTILISER UNE CAISSE MAIS VEUT GARDER LA CAISSE EN MAGASIN;Ne souhaite plus utiliser une caisse et l'eteindre mais ne veut pas la retirer du magasin.;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;05 - Demande de service;ADMIN INFRA;Explique que la caisse ne sera pas à jour si elle est eteinte. Demande de voir avec son CSI pour la supprimer. AFFECTATION du ticket dans bannette  FR METIER N2 CSI PROXIMITE + envoi mail et clôturer le CARE;P4;SYM0426; ;12/12/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
