Enseigne;sycron;anabel;adresse;cp;villes;telephone;serveur;caisse;Type caisse;Msge;NCR;DN;Trt sco
EXPRESS\2161 LE FOSSAT;2161;6297;AVENUE DE TOULOUSE;9130;LE FOSSAT;33561685292;LV2;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2164 PARIS NATIONALE 108;2164;6309;108 RUE NATIONALE;75013;PARIS;33145831419;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2165 CARQUEFOU;2165;6300;5 RUE DU 9 AOUT 1944;44470;CARQUEFOU;33228226732;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2167 PARIS SAINT JACQUES;2167;6306;305 RUE SAINT JACQUES;75005;PARIS;33156810333;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2168 REIMS CERES;2168;6323;47 RUE CERES;51100;REIMS;33326351832;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2169 SAINT GERVAIS LES BAINS;2169;6311;28 RUE MONTBLANC;74170;SAINT GERVAIS LES BAINS;33450479474;LV1;03K_WI2;S2;#REF!;;;
EXPRESS\2170 REIMS BLUM;2170;6328;2 bis Avenue Léon Blum;51100;REIMS;33326062911;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2171 PARIS GOUVION SAINT CYR;2171;6310;51 BOULEVARD GOUVION SAINT CYR;75017;PARIS;33156681217;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2172 ARRAS MEAULENS;2172;6315;13 RUE DE MEAULENS;62000;ARRAS;33321231257;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2173 LILLE DOUAI;2173;6319;70 RUE DE DOUAI;59000;LILLE;33320853080;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2174 LEVALLOIS PVC;2174;6325;84 RUE PAUL VAILLANT COUTURIER;92300;LEVALLOIS;33140870264;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2175 LE HAVRE NORMAND;2175;6348;22 RUE AUGUSTE NORMAND;76600;LE HAVRE;33235220722;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2178 TOULOUSE CRAMPEL;2178;6327;1 BIS AVENUE CRAMPEL;31400;TOULOUSE;33562844433;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2182 PARIS 69 CLICHY;2182;6346;69 RUE DE CLICHY;75009;PARIS;33142809875;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2184 BRIVE DE GAULLE;2184;6334;10 PLACE CHARLES DE GAULLE;19100;BRIVE;33555920347;LV2;01K_WI2;S2;#REF!;;;
EXPRESS\2185 AMIENS PARIS;2185;6351;RUE DE PARIS;80090;AMIENS;33322441931;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2192 BIGUGLIA;2192;1384;RN 193;20620;BIGUGLIA;33495359226;LV1;03K_WI2;S2;#REF!;;;
EXPRESS\2193 SAINT BRIEUC HOUVENAGLE;2193;6343;3 RUE HOUVENAGLE;22000;SAINT BRIEUC;33296424626;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2194 SAINT DIDIER EN VELAY;2194;6342;PLACE FOCH;43140;SAINT DIDIER EN VELAY;33471610564;LV1;03K_WI2;S2;#REF!;;;
EXPRESS\2195 BIARRITZ BERGERIE;2195;5955;19 RUE DE LA BERGERIE;64200;BIARRITZ;33559222231;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2196 ANGLET TOTAL;2196;6347;1 BIS RUE DE PALOUMET;64600;ANGLET;33559740400;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2197 PARIS TOLBIAC;2197;6350;77 RUE TOLBIAC;75013;PARIS;33142504363;KO;KO;KO;#REF!;;;
EXPRESS\2198 VALENCE TOTAL;2198;1380;BOULEVARD GUSTAVE ANDRE;26000;VALENCE;33475428760;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2199 AIX EN PROVENCE TOTAL;2199;6349;16 ROUTE DE GALICE;13100;AIX EN PROVENCE;33442529200;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2200 SAINT PRIEST TOTAL;2200;1379;72 ROUTE D'HEYRIEUX;69800;SAINT PRIEST;33478214643;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2204 PAU VALLEES;2204;5804;5 AVENUE DES VALLEES - CC BEAUGENCY;64000;PAU;33559983113;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2207 LANDSER;2207;6356;RUE ACKLIN;68440;LANDSER;33389391445;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2214 COLOMIERS MAROTS;2214;1002;12 PLACE MAROTS;31770;COLOMIERS;33967270491;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2215 HINX;2215;6355;14 ROUTE DE MONTFORT;40180;HINX;33558583447;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2216 ORLEANS BOURGOGNE;2216;1386;294 RUE DE BOURGOGNE;45000;ORLEANS;33986409013;LV2;02K_WI2_1SCO-NCR;S2;#REF!;NCR;;NCR
EXPRESS\2223 BEINHEIM;2223;1571;"25  RUE PRINCIPALE				";67930;BEINHEIM;"+33963582836	";LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2226 LIEPVRE;2226;1447;29 RUE CLEMENCEAU;68160;LIEPVRE;33389589084;LV2;01K_WI2;S2;#REF!;;;
EXPRESS\2227 MOLSHEIM;2227;1580;9 PLACE DE L'HOTEL DE VILLE;67120;MOLSHEIM;33388478057;LV4;02K_WI2;S2;#REF!;;;
EXPRESS\2228 MONSWILLER;2228;;RUE HAUTE;67700;MONSWILLER;33388911423;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2229 MULHOUSE VAUBAN;2229;1650;61 RUE VAUBAN;68100;MULHOUSE;33389464258;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2230 RIBEAUVILLE;2230;1657;2 RUE SALZMANN;68150;RIBEAUVILLE;33389736127;LV1;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2233 THANN;2233;;9 PL MAL DELATTRE DE TASSIGNY;68800;THANN;33953143097;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2241 STRASBOURG ALTENHEIM;2241;1651;95 ROUTE D'ALTENHEIM;67100;STRASBOURG;33388439733;LV3;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2250 BRUMATH;2250;1410;1 RUE DU GENERAL DUPORT;67170;BRUMATH;33388511302;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2251 BUHL;2251;1411;42 RUE DU FLORIVAL;68530;BUHL;33389386858;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2252 COLMAR CHATEAUX;2252;1413;18 RUE DES TROIS CHATEAUX;68000;COLMAR;33389807804;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2253 DETTWILLER;2253;1416;1 RUE DES BOUCHERS;67490;DETTWILLER;33388705947;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2255 FEGERSHEIM;2255;1426;145 RUE HENRI EBEL;67640;FEGERSHEIM;33388642376;LV1;02K_WM3;M3;#REF!;;;
EXPRESS\2256 GEISPOLSHEIM;2256;1428;57 RUE DE GAL. DE GAULE;67118;GEISPOLSHEIM;33388688085;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2257 GUEBWILLER;2257;1434;126 RUE DE LA REPUBLIQUE;68500;GUEBWILLER;33389768057;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2259 ILLZACH;2259;1439;22 PLACE DE LA REPUBLIQUE;68110;ILLZACH;33389526632;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2260 MERTZWILLER;2260;1608;22 RUE DE LA LIBERTE;67580;MERTZWILLER;33388903388;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2261 MUNDOLSHEIM;2261;1463;RUE DU GENERAL LECLERC;67450;MUNDOLSHEIM;33388200510;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2262 MUTZIG;2262;1465;31 rue du Maréchal FOCH;67190;MUTZIG;33369964054;LV1;01K_WI2;S2;#REF!;;;
EXPRESS\2263 NIEDERBRONN;2263;1646;8 RUE DU GAL.GAULLE;67110;NIEDERBRONN;33388803256;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2264 SAVERNE;2264;1484;116 RUE GRAND RUE;67700;SAVERNE;33388911757;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2265 SCHILTIGHEIM;2265;1637;25 ROUTE DE BISCHWILLER;67300;SCHILTIGHEIM;33388331424;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2266 SCHWEIGHOUSE MODER;2266;;PLACE DU MAIRE J.WENDLING;67590;SCHWEIGHOUSE MODER;33963577092;LV2;01K_WI2;S2;#REF!;;;
EXPRESS\2267 SOUFFELWEYERSHEIM;2267;1493;5 PLACE DU GAL DE GAULLE;67460;SOUFFELWEYERSHEIM;33388209231;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2268 STRASBOURG RATHSAMHAUSEN;2268;1575;2 RUE DE RATHSAMHAUSEN;67100;STRASBOURG;33390678338;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2269 VENDENHEIM;2269;1512;2 RUE LIGNEE;67550;VENDENHEIM;33388694396;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2270 WEYERSHEIM;2270;1570;68 RUE DE LA REPUBLIQUE;67720;WEYERSHEIM;33388257667;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2271 WISSEMBOURG;2271;1522;2 RUE BANNAKER;67160;WISSEMBOURG;33983399116;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2274 TOTAL DAX;2274;4427;RUE GEORGES CHAULET;40990;DAX;33558581226;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2275 AMIENS JACOBINS;2275;1641;57-59 RUE DES JACOBINS;80000;AMIENS;33966872306;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2277 NANTES DOULON;2277;1387;91 BOULEVARD DOULON;44300;NANTES;33240301616;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2279 SEYSSINET TOTAL;2279;2499;115 AVENUE DE LA REPUBLIQUE;38170;SEYSSINET;33476489200;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2280 TOTAL LILLE EPINETTE;2280;1564;91 RUE DU FAUBOURG DE BETHUME - RELAIS DE L EPINETTE;59000;LILLE;33320108261;LV3;01K_WI2;S2;#REF!;;;
EXPRESS\2287 RAMBOUILLET;2287;1560;24-28 RUE DE GROUSSAY;78120;RAMBOUILLET;33161086216;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2288 TOURS VICTOIRE;2288;1562;1 PLACE DE LA VICTOIRE;37000;TOURS;33247396677;LV1;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2289 CAMBRAI TASSIGNY;2289;;23 RUE DU MAL DE LATTRE DE TASSIGNY;59400;CAMBRAI;33327786434;LV1;02K_WI2;S2;#REF!;;;
"EXPRESS\2300 VILLEFORT				";2300;1154;"20 PLACE DU BOSQUET				";48800;"VILLEFORT	";;LV4;02K_WM3;M3;#REF!;;;
EXPRESS\2301 LANDOS;2301;5715;LE BOURG;43340;LANDOS;;LV4;02K_WM3_L5000-USB_LNA-V5;M3;#REF!;;;
EXPRESS\2302 CLERMONT FERRAND DOME;2302;4365;84 AVENUE DU PUY DE DOME;63000;CLERMONT FERRAND;33473195195;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2303 LA TOUR DU CRIEU;2303;1088;LOT. LA PALANQUE;9100;LA TOUR DU CRIEU;33967499639;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2305 SAINT GENIS DES FONTAINES;2305;1579;43 AVENUE DU MARECHAL JOFFRE;66740;SAINT GENIS DES FONTAINES;33468872076;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2309 NANCY COMMANDERIE;2309;1597;11 PLACE DE LA COMMANDERIE;54000;NANCY;33967423551;LV4;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2319 NANTES FRANCOIS;2319;1626;PLACE FRANCOIS II;44000;NANTES;33240481325;LV1;03K_WI2;S2;#REF!;;;
EXPRESS\2320 BASSE GOULAINE;2320;1620;8 PLACE SAINT BRICE;44115;BASSE GOULAINE;33240581878;LV1;03K_WI2;S2;#REF!;;;
EXPRESS\2325 LILLE REPUBLIQUE;2325;1647;732 AVENUE REPUBLIQUE;59800;LILLE;33328079768;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2327 VERSAILLES FOCH;2327;1635;83 RUE DU MARECHAL FOCH;78000;VERSAILLES;33139241690;LV1;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2331 LE BOURG D'OISANS;2331;4200;RUE DE LA REPUBLIQUE;38520;BOURG D'OISANS;33476791071;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2333 GONDRIN;2333;1077;44 AVENUE JEAN MOULIN;32330;GONDRIN;;LV4;02K_WM3_LNA-V5;M3;#REF!;;;
EXPRESS\2340 FONTAINE SUR SAONE;2340;4494;46 AVENUE DES MARONNIERS;69270;FONTAINE SUR SAONE;33437400001;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2344 PARIS AURIOLE;2344;1662;181 BOULEVARD VINCENT AURIOLE;75013;PARIS;33144243935;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2346 TOTAL AIX LES BAINS;2346;4033;PLACE JEAN LAHOR;73100;AIX LES BAINS;33479613399;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2347 AMANVILLERS;2347;1851;5 RUE DE METZ ZONE CLOS DES PLAQUETTES;57865;AMANVILLERS;33387801323;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2351 MARIGNANE;2351;1673;Avenue du 8 mai;13700;MARIGNANE;33442101401;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2352 NANCY LEOPOLD;2352;4972;4 COURS LEOPOLD;54000;NANCY;33383316825;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2353 TROYES CLEMENCEAU;2353;1674;76 RUE DE GEORGES CLEMENCEAU;10000;TROYES;33325734127;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2354 NANCY BOUFFLERS;2354;4967;6 AVENUE BOUFFLERS;54000;NANCY;33383375429;LV1;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2355 LA GRANDE MOTTE;2355;1675;115 AVENUE DE L'EUROPE;34280;LA GRANDE MOTTE;33467569334;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2357 SASSENAGE;2357;2475;31 AVENUE DE ROMANS;38360;SASSENAGE;33476274280;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2363 SAINT SYMPHORIEN D'OZON;2363;2158;ROUTE DE CORBAS RD149;69360;SAINT SYMPHORIEN D'OZON;33478029664;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2375 MOUILLERON LE CAPTIF;2375;1670;11 PLACE DE LA MARELLE;85000;MOUILLERON LE CAPTIF;33251092851;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2377 RENNES FOUGERES;2377;1687;254 ROUTE DE FOURGERES;35700;RENNES FOUGERES;33299361830;LV4;01K_WI2;S2;#REF!;;;
EXPRESS\2378 PULVERSHEIM;2378;1477;10 RUE ENSISHEIM;68840;PULVERSHEIM;33388901328;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2382 LYON MARIETTON;2382;4829;111 RUE MARIETTON;69009;LYON;33478832942;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2383 FREJUS;2383;1678;632 AVENUE DE PROVENCE;83600;FREJUS;33494527713;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2384 MALO;2384;7555;"71 Rue de la Margate		";59240;MALO LES BAINS;;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2385 LA GARENNES COLOMBES;2385;1707;4 PLACE DU GENERAL LECLERC;92250;LA GARENNES COLOMBES;33187376967;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2391 JUGON LES LACS;2391;1688;21T RUE DE PENTHIEVRE;22270;JUGON LES LACS;33296316215;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2393 MAZAMET;2393;1693;7 PLACE GAMBETTA;81200;MAZAMET;33563744340;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2403 WEITBRUCH;2403;1515;88 rue Principale;67500;WEITBRUCH;33988723488;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2405 CHEVREUSE;2405;1697;76 RUE DE LA DIVISION LECLERC;78460;CHEVREUSE;33130051982;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2406 MEULAN;2406;1708;31 RUE DU MARECHAL FOCH;78250;MEULAN;33962540646;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2409 PLEUDIHEN;2409;3572;Place du Verger;22690;PLEUDIHEN;33296832267;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2415 PARIS MONGE;2415;1739;106 RUE DE MONGE;75005;PARIS;33153600366;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2417 VILLENEUVE D'ASQ;2417;1709;6 RUE DU GENERAL LECLERC;59650;VILLENEUVE D'ASQ;33320340031;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2419 TOTAL LA TRESNE;2419;1695;9 AVENUE DE LA LIBERATION;33360;LA TRESNE;33556200096;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2420 ORCINES;2420;1114;9, route des puys;63870;ORCINES;33967607271;LV4;02K_WI2;S2;#REF!;;;
"EXPRESS\2421 BIGUGLIA LIDO					";2421;1738;"Camping San Damiano - Lido de la Marana				";20620;"BIGUGLIA LIDO					";;LV4;03K_WM3;M3;#REF!;;;
EXPRESS\2427 QUEVEN;2427;1788;36, RUE JEAN JAURES;56530;QUEVEN;33954980712;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2428 GERSTHEIM;2428;1604;"2 rue du moulin	";67150;GERSTHEIM;;LV4;02K_WI2;S2;#REF!;;;
EXPRESS\2435 CHATENOIS;2435;1412;38 RUE DU MARECHAL FOCH;67730;ETEL;33388820309;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2459 MARSEILLE MAZARGUES 12;2459;2839;12 AVENUE DE MAZARGUES;13008;MARSEILLE;33491342684;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2488 IGORNAY;2488;5722;A L'ART DU PAIN  - LE BOURG;71540;IGORNAY;;LV4;02K_WI2;S2;#REF!;;;
EXPRESS\2489 ILLFURTH;2489;1797;10 ROUTE D'ALTKIRCH;67720;ILLFURTH;;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2493 MORTON;2493;1750;CENTER PARCS - DOMAINE DU BOIS AUX DAIMS - ROUTE DES TROIS MOUTIERS;86120;MORTON LES 3 MOUTIERS;33549226459;LV1;03K_WI2;S2;#REF!;;;
EXPRESS\2494 SAINT GENIS SAINTONGES;2494;1787;3 RUE NEUVE;17240;SAINT GENIS DE SAINTONGE;33546483197;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2500 BOUXWILLER;2500;1408;66 GRANDE RUE;67730;BOUXWILLER;33388707125;LV4;02K_WI2;S2;#REF!;;;
EXPRESS\2501 BAR LE DUC;2501;3317;1 PLACE SAINTE CATHERINE;55000;BAR LE DUC;33967312765;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2502 REIMS JAURES;2502;1831;20 AVENUE JEAN JAURES;51100;REIMS;33967336170;LV2;02K_WM3;M3;#REF!;;;
EXPRESS\2679 AYGUEVIVES;2679;1939;CENTRE COMMERCIAL DU BARRY;31450;AYGUESVIVES;33561247114;LV2;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\2688 UFFHOLTZ;2688;1842;2 RUE DE SOULTZ;68700;UFFHOLTZ;33389755263;LV2;02K_WM3;M3;#REF!;;;
EXPRESS\2721 PARIS AURIOL 91;2721;2916;91, BOULEVARD VINCENT AURIOL;75013;PARIS;33140770324;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2786 HUIT A HUIT LES ARCS;2786;4819;LES ARCS 1950;73700;LES ARCS;33479006972;LV4;05K_WM3;M3;#REF!;;;
EXPRESS\2789 BANDOL ECOLES;2789;6014;10 RUE DES ECOLES;83150;BANDOL;33494298242;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2832 ROQUEMAURE;2832;6440;30, RUE DU PAVILLON;30150;ROQUEMAURE;33983845152;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2874 AMIENS BARNI;2874;3774;67 RUE JULES BARNI;80000;AMIENS;33967624182;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2878 TOULOUSE MINIMES 49;2878;3762;49 BOULEVARD DES MINIMES;31000;TOULOUSE;33561576493;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2927 MARLY;2927;3758;21 RUE DE LA CROIX SAINT JOSEPH;57155;MARLY;33387369488;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2944 BOUGUENAIS;2944;3764;11 PLACE JEAN BAPTISTE SAY;44340;BOUGUENAIS;33240025619;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\2954 SOUFFLENHEIM;2954;;8 GRANDE RUE;67620;SOUFFLENHEIM;33388866156;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\2955 PARIS ALESIA;2955;6370;69 RUE ALESIA;75014;PARIS;33142226607;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2956 PARIS DIDOT;2956;3494;85 RUE DIDOT;75014;PARIS;33145408848;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2964 MAYENNE DE GAULLE;2964;6540;251 RUE DU GENERAL DE GAULLE;53100;MAYENNE;33243031762;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2970 ROUEN REPUBLIQUE;2970;6503;RUE DE LA REPUBLIQUE;60340;ROUEN;33227080988;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\2984 GIVRY EN ARGONNE;2984;4545;1 RUE DES ETANCHETTES;51330;GIVRY EN ARGONNE;3326600738;LV4;02K_WI2;S2;#REF!;;;
EXPRESS\2986 DOUARNENEZ ANATOLE FRANCE;2986;5902;15 Rue Anatole France;29100;DOUARNENEZ;;LV4;02K_E61;E61;#REF!;;;
EXPRESS\2987 GUISSENY;2987;5951;11 Rue de l'Eglise;29880;GUISSENY;33298256126;LV4;02K_E61;E61;#REF!;;;
EXPRESS\3041 PARIS SAXE;3041;6516;43 AVENUE DE SAXE;75007;PARIS;33140291140;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3092 DOUAI LANNOY;3092;6538;1 PLACE SUZANNE LANNOY;59500;DOUAI;;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3093 MARSEILLE LIBERATION 205;3093;6722;205 BD DE LA LIBERATION;13004;MARSEILLE;33491502247;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3094 LYON VITTON;3094;6602;48 COURS VITTON;69006;LYON;33478416229;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3096 LANTRIAC;3096;1091;10 RUE LES VIGERES;43260;LANTRIAC;33471050139;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3098 PARIS BOULAINVILLIERS;3098;6752;16 RUE BOULAINVILLIERS;75016;PARIS;;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3099 BELLEHERBE;3099;5673;LE BOURG;25380;BELLEHERBE;33381443616;LV4;02K_WM3;M3;#REF!;;;
EXPRESS\3106 FAY DE BRETAGNE;3106;6535;12 RUE GEORGES SICARD;44130;FAY DE BRETAGNE;33240874751;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3107 FOIX BAYLE;3107;6595;14 RUE BAYLE;9000;FOIX;33561019039;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3110 THOUARE SUR LOIRE;3110;6560;7, RUE DE MAUVES;44470;THOUARE SUR LOIRE;33228341101;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3111 SAINT JEAN DE BOISEAU;3111;6707;AVENUE DU 11 NOVEMBRE;44640;SAINT JEAN DE BOISEAU;33240780410;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\3116 PARIS PYRENEES;3116;6577;385 RUE DES PYRENEES;75020;PARIS;33142542468;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3119 MUSSY SUR SEINE;3119;6587;3 RUE PAUL TERRAILLON;10250;MUSSY SUR SEINE;33325294950;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3121 TOULON LAMALGUE;3121;6621;59 RUE LAMALGUE;83000;TOULON;33494460738;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3123 MONTBELIARD;3123;6635;RUE DE LA SOUABERIE;25200;MONTBELIARD;33381945272;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3134 PARIS SABLIERE;3134;6899;6 RUE DE LA SABLIERE;75014;PARIS;;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3136 HELLIMER;3136;6638;57 RUE PRINCIPALE;57660;HELLIMER;33387418133;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3137 METZ COISLIN;3137;4895;PLACE COISLIN;57000;METZ;33387180258;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\3141 LILLE PARIS;3141;6634;137 RUE DE PARIS;59000;LILLE;33328050101;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3142 PARIS MONTMARTRE;3142;6622;7 RUE MONTMARTRE;75001;PARIS;33140204604;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3143 VERSAILLES MONTREUIL;3143;6915;10 RUE DE MONTREUIL;78000;VERSAILLES;33139507964;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3145 TOULOUSE TAUR;3145;6715;13 RUE DU TAUR;31000;TOULOUSE;33561121524;LV2;02K_WM3_L5000-USB;M3;#REF!;;;
EXPRESS\3146 TROUVILLE;3146;6651;15 BOULEVARD FERNAND MOUREAUX;14360;TROUVILLE;33231985479;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3151 LA FERTE GAUCHER;3151;5240;23, RUE DE PARIS;77320;LA FERTE GAUCHER;33164201279;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3153 VERSAILLES CHANTIERS;3153;6625;GARE DE VERSAILLES CHANTIERS;78000;VERSAILLES;33139670282;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3157 HENNEBONT;3157;6702;21, RUE TROTTIER;56700;HENNEBONT;33297058988;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\3167 MARSEILLE BERNARD;3167;6725;8 PLACE CLAUDE BERNARD;13012;MARSEILLE;;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3168 SAUTRON;3168;6704;17 RUE DE BRETAGNE;44880;SAUTRON;33228270665;LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3169 NANTES SAINTE LUCE;3169;6705;48, ROUTE DE SAINTE-LUCE;44300;NANTES;33228348131;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\3177 SAINT MALO CHATEAUBRIAND;3177;;"11 BD CHATEAUBRIAND				";35400;SAINT MALO;"+33299560949	";LV2;02K_WI2;S2;#REF!;;;
EXPRESS\3180 BREST CORBIERE;3180;4214;7 RUE EDOUARD CORBIERE;29000;BREST;33298460427;LV1;02K_WI2;S2;#REF!;;;
EXPRESS\3181 SCAER QUEGNIEC;3181;6711;RUE YVES QUEGNIEC;29390;SCAER QUEGNIEC;33298576457;LV3;02K_WI2;S2;#REF!;;;
EXPRESS\3182 MONTPELLIER JUVENAL;3182;6724;95 RUE DU PONT JUVENAL;34000;MONTPELLIER;33467423169;LV3;03K_WI2;S2;#REF!;;;
EXPRESS\3183 MERVILLE DE GAULLE;3183;6719;10 RUE DU GENERAL DE GAULLE;59660;MERVILLE;33328447409;LV2;02K_WI2;S2;#REF!;;;
